Day of Date,Type,Region,Average Price
"December 27, 2015",conventional,Albany,1.33
"December 20, 2015",conventional,Albany,1.35
"December 13, 2015",conventional,Albany,0.93
"December 6, 2015",conventional,Albany,1.08
"November 29, 2015",conventional,Albany,1.28
"November 22, 2015",conventional,Albany,1.26
"November 15, 2015",conventional,Albany,0.99
"November 8, 2015",conventional,Albany,0.98
"November 1, 2015",conventional,Albany,1.02
"October 25, 2015",conventional,Albany,1.07
"October 18, 2015",conventional,Albany,1.12
"October 11, 2015",conventional,Albany,1.28
"October 4, 2015",conventional,Albany,1.31
"September 27, 2015",conventional,Albany,0.99
"September 20, 2015",conventional,Albany,1.33
"September 13, 2015",conventional,Albany,1.28
"September 6, 2015",conventional,Albany,1.11
"August 30, 2015",conventional,Albany,1.07
"August 23, 2015",conventional,Albany,1.34
"August 16, 2015",conventional,Albany,1.33
"August 9, 2015",conventional,Albany,1.12
"August 2, 2015",conventional,Albany,1.45
"July 26, 2015",conventional,Albany,1.11
"July 19, 2015",conventional,Albany,1.26
"July 12, 2015",conventional,Albany,1.05
"July 5, 2015",conventional,Albany,1.35
"June 28, 2015",conventional,Albany,1.37
"June 21, 2015",conventional,Albany,1.27
"June 14, 2015",conventional,Albany,1.32
"June 7, 2015",conventional,Albany,1.07
"May 31, 2015",conventional,Albany,1.23
"May 24, 2015",conventional,Albany,1.19
"May 17, 2015",conventional,Albany,1.43
"May 10, 2015",conventional,Albany,1.26
"May 3, 2015",conventional,Albany,1.2
"April 26, 2015",conventional,Albany,1.22
"April 19, 2015",conventional,Albany,1.19
"April 12, 2015",conventional,Albany,1.13
"April 5, 2015",conventional,Albany,1.16
"March 29, 2015",conventional,Albany,1.02
"March 22, 2015",conventional,Albany,1.12
"March 15, 2015",conventional,Albany,1.11
"March 8, 2015",conventional,Albany,1.07
"March 1, 2015",conventional,Albany,0.99
"February 22, 2015",conventional,Albany,1.07
"February 15, 2015",conventional,Albany,1.06
"February 8, 2015",conventional,Albany,0.99
"February 1, 2015",conventional,Albany,0.99
"January 25, 2015",conventional,Albany,1.06
"January 18, 2015",conventional,Albany,1.17
"January 11, 2015",conventional,Albany,1.24
"January 4, 2015",conventional,Albany,1.22
"January 3, 2016",conventional,Albany,1.03
"January 10, 2016",conventional,Albany,1.28
"January 17, 2016",conventional,Albany,1.26
"January 24, 2016",conventional,Albany,1.22
"January 31, 2016",conventional,Albany,1.16
"February 7, 2016",conventional,Albany,1.07
"February 14, 2016",conventional,Albany,1.13
"February 21, 2016",conventional,Albany,1.28
"February 28, 2016",conventional,Albany,1.26
"March 6, 2016",conventional,Albany,1.27
"March 13, 2016",conventional,Albany,1.18
"March 20, 2016",conventional,Albany,1.32
"March 27, 2016",conventional,Albany,1.49
"April 3, 2016",conventional,Albany,0.85
"April 10, 2016",conventional,Albany,1.46
"April 17, 2016",conventional,Albany,1.22
"April 24, 2016",conventional,Albany,1.18
"May 1, 2016",conventional,Albany,1.03
"May 8, 2016",conventional,Albany,1.27
"May 15, 2016",conventional,Albany,1.36
"May 22, 2016",conventional,Albany,1.34
"May 29, 2016",conventional,Albany,1.49
"June 5, 2016",conventional,Albany,1.47
"June 12, 2016",conventional,Albany,1.38
"June 19, 2016",conventional,Albany,1.42
"June 26, 2016",conventional,Albany,1.5
"July 3, 2016",conventional,Albany,1.42
"July 10, 2016",conventional,Albany,1.11
"July 17, 2016",conventional,Albany,1.31
"July 24, 2016",conventional,Albany,1.46
"July 31, 2016",conventional,Albany,1.61
"August 7, 2016",conventional,Albany,1.48
"August 14, 2016",conventional,Albany,1.2
"August 21, 2016",conventional,Albany,1.43
"August 28, 2016",conventional,Albany,1.18
"September 4, 2016",conventional,Albany,1.44
"September 11, 2016",conventional,Albany,1.37
"September 18, 2016",conventional,Albany,1.39
"September 25, 2016",conventional,Albany,1.62
"October 2, 2016",conventional,Albany,1.51
"October 9, 2016",conventional,Albany,1.13
"October 16, 2016",conventional,Albany,1.4
"October 23, 2016",conventional,Albany,1.19
"October 30, 2016",conventional,Albany,1.46
"November 6, 2016",conventional,Albany,1.63
"November 13, 2016",conventional,Albany,1.62
"November 20, 2016",conventional,Albany,1.56
"November 27, 2016",conventional,Albany,1.52
"December 4, 2016",conventional,Albany,1.48
"December 11, 2016",conventional,Albany,1.49
"December 18, 2016",conventional,Albany,1.53
"December 25, 2016",conventional,Albany,1.52
"January 1, 2017",conventional,Albany,1.47
"January 8, 2017",conventional,Albany,1.55
"January 15, 2017",conventional,Albany,1.55
"January 22, 2017",conventional,Albany,1.59
"January 29, 2017",conventional,Albany,1.31
"February 5, 2017",conventional,Albany,1.49
"February 12, 2017",conventional,Albany,1.42
"February 19, 2017",conventional,Albany,1.67
"February 26, 2017",conventional,Albany,1.4
"March 5, 2017",conventional,Albany,1.18
"March 12, 2017",conventional,Albany,1.54
"March 19, 2017",conventional,Albany,1.6
"March 26, 2017",conventional,Albany,1.16
"April 2, 2017",conventional,Albany,1.62
"April 9, 2017",conventional,Albany,1.54
"April 16, 2017",conventional,Albany,1.62
"April 23, 2017",conventional,Albany,1.34
"April 30, 2017",conventional,Albany,1.13
"May 7, 2017",conventional,Albany,1.47
"May 14, 2017",conventional,Albany,1.77
"May 21, 2017",conventional,Albany,1.38
"May 28, 2017",conventional,Albany,1.8
"June 4, 2017",conventional,Albany,1.7
"June 11, 2017",conventional,Albany,1.65
"June 18, 2017",conventional,Albany,1.58
"June 25, 2017",conventional,Albany,1.53
"July 2, 2017",conventional,Albany,1.56
"July 9, 2017",conventional,Albany,1.52
"July 16, 2017",conventional,Albany,1.39
"July 23, 2017",conventional,Albany,1.49
"July 30, 2017",conventional,Albany,1.61
"August 6, 2017",conventional,Albany,1.53
"August 13, 2017",conventional,Albany,1.52
"August 20, 2017",conventional,Albany,1.61
"August 27, 2017",conventional,Albany,1.61
"September 3, 2017",conventional,Albany,1.76
"September 10, 2017",conventional,Albany,1.78
"September 17, 2017",conventional,Albany,1.41
"September 24, 2017",conventional,Albany,1.64
"October 1, 2017",conventional,Albany,1.69
"October 8, 2017",conventional,Albany,1.78
"October 15, 2017",conventional,Albany,1.65
"October 22, 2017",conventional,Albany,1.56
"October 29, 2017",conventional,Albany,1.67
"November 5, 2017",conventional,Albany,1.62
"November 12, 2017",conventional,Albany,1.26
"November 19, 2017",conventional,Albany,1.65
"November 26, 2017",conventional,Albany,1.5
"December 3, 2017",conventional,Albany,1.39
"December 10, 2017",conventional,Albany,1.29
"December 17, 2017",conventional,Albany,1.43
"December 24, 2017",conventional,Albany,1.45
"December 31, 2017",conventional,Albany,1.47
"January 7, 2018",conventional,Albany,1.13
"January 14, 2018",conventional,Albany,1.42
"January 21, 2018",conventional,Albany,1.69
"January 28, 2018",conventional,Albany,1.57
"February 4, 2018",conventional,Albany,1.03
"February 11, 2018",conventional,Albany,1.45
"February 18, 2018",conventional,Albany,1.43
"February 25, 2018",conventional,Albany,1.28
"March 4, 2018",conventional,Albany,1.08
"March 11, 2018",conventional,Albany,1.12
"March 18, 2018",conventional,Albany,1.35
"March 25, 2018",conventional,Albany,1.57
"January 4, 2015",organic,Albany,1.79
"January 11, 2015",organic,Albany,1.77
"January 18, 2015",organic,Albany,1.93
"January 25, 2015",organic,Albany,1.89
"February 1, 2015",organic,Albany,1.83
"February 8, 2015",organic,Albany,1.59
"February 15, 2015",organic,Albany,1.81
"February 22, 2015",organic,Albany,1.82
"March 1, 2015",organic,Albany,1.76
"March 8, 2015",organic,Albany,1.79
"March 15, 2015",organic,Albany,1.79
"March 22, 2015",organic,Albany,1.86
"March 29, 2015",organic,Albany,1.93
"April 5, 2015",organic,Albany,1.93
"April 12, 2015",organic,Albany,1.76
"April 19, 2015",organic,Albany,1.96
"April 26, 2015",organic,Albany,1.9
"May 3, 2015",organic,Albany,2.03
"May 10, 2015",organic,Albany,1.98
"May 17, 2015",organic,Albany,1.87
"May 24, 2015",organic,Albany,1.93
"May 31, 2015",organic,Albany,1.9
"June 7, 2015",organic,Albany,1.93
"June 14, 2015",organic,Albany,2.03
"June 21, 2015",organic,Albany,2.09
"June 28, 2015",organic,Albany,2.02
"July 5, 2015",organic,Albany,2.04
"July 12, 2015",organic,Albany,2.01
"July 19, 2015",organic,Albany,2.08
"July 26, 2015",organic,Albany,2.01
"August 2, 2015",organic,Albany,2
"August 9, 2015",organic,Albany,1.88
"August 16, 2015",organic,Albany,2
"August 23, 2015",organic,Albany,1.87
"August 30, 2015",organic,Albany,1.88
"September 6, 2015",organic,Albany,1.86
"September 13, 2015",organic,Albany,1.99
"September 20, 2015",organic,Albany,1.98
"September 27, 2015",organic,Albany,1.98
"October 4, 2015",organic,Albany,1.98
"October 11, 2015",organic,Albany,1.9
"October 18, 2015",organic,Albany,1.97
"October 25, 2015",organic,Albany,1.83
"November 1, 2015",organic,Albany,1.88
"November 8, 2015",organic,Albany,1.88
"November 15, 2015",organic,Albany,1.89
"November 22, 2015",organic,Albany,1.94
"November 29, 2015",organic,Albany,1.94
"December 6, 2015",organic,Albany,1.84
"December 13, 2015",organic,Albany,1.85
"December 20, 2015",organic,Albany,1.89
"December 27, 2015",organic,Albany,1.83
"January 3, 2016",organic,Albany,1.75
"January 10, 2016",organic,Albany,1.83
"January 17, 2016",organic,Albany,1.67
"January 24, 2016",organic,Albany,1.83
"January 31, 2016",organic,Albany,1.79
"February 7, 2016",organic,Albany,1.81
"February 14, 2016",organic,Albany,1.81
"February 21, 2016",organic,Albany,1.79
"February 28, 2016",organic,Albany,1.79
"March 6, 2016",organic,Albany,1.92
"March 13, 2016",organic,Albany,1.79
"March 20, 2016",organic,Albany,1.76
"March 27, 2016",organic,Albany,1.65
"April 3, 2016",organic,Albany,1.56
"April 10, 2016",organic,Albany,1.62
"April 17, 2016",organic,Albany,1.82
"April 24, 2016",organic,Albany,1.77
"May 1, 2016",organic,Albany,1.78
"May 8, 2016",organic,Albany,1.83
"May 15, 2016",organic,Albany,1.59
"May 22, 2016",organic,Albany,1.55
"May 29, 2016",organic,Albany,1.49
"June 5, 2016",organic,Albany,1.47
"June 12, 2016",organic,Albany,1.43
"June 19, 2016",organic,Albany,1.45
"June 26, 2016",organic,Albany,1.53
"July 3, 2016",organic,Albany,1.43
"July 10, 2016",organic,Albany,1.58
"July 17, 2016",organic,Albany,1.57
"July 24, 2016",organic,Albany,1.42
"July 31, 2016",organic,Albany,1.43
"August 7, 2016",organic,Albany,1.67
"August 14, 2016",organic,Albany,1.72
"August 21, 2016",organic,Albany,1.67
"August 28, 2016",organic,Albany,1.66
"September 4, 2016",organic,Albany,1.73
"September 11, 2016",organic,Albany,1.68
"September 18, 2016",organic,Albany,1.69
"September 25, 2016",organic,Albany,1.68
"October 2, 2016",organic,Albany,1.73
"October 9, 2016",organic,Albany,1.75
"October 16, 2016",organic,Albany,1.75
"October 23, 2016",organic,Albany,1.86
"October 30, 2016",organic,Albany,1.96
"November 6, 2016",organic,Albany,1.93
"November 13, 2016",organic,Albany,2
"November 20, 2016",organic,Albany,1.93
"November 27, 2016",organic,Albany,1.97
"December 4, 2016",organic,Albany,1.97
"December 11, 2016",organic,Albany,1.9
"December 18, 2016",organic,Albany,1.86
"December 25, 2016",organic,Albany,1.93
"January 1, 2017",organic,Albany,1.87
"January 8, 2017",organic,Albany,1.94
"January 15, 2017",organic,Albany,1.84
"January 22, 2017",organic,Albany,1.82
"January 29, 2017",organic,Albany,1.86
"February 5, 2017",organic,Albany,1.72
"February 12, 2017",organic,Albany,1.78
"February 19, 2017",organic,Albany,1.67
"February 26, 2017",organic,Albany,1.71
"March 5, 2017",organic,Albany,1.84
"March 12, 2017",organic,Albany,1.97
"March 19, 2017",organic,Albany,1.87
"March 26, 2017",organic,Albany,2.02
"April 2, 2017",organic,Albany,1.86
"April 9, 2017",organic,Albany,1.92
"April 16, 2017",organic,Albany,1.85
"April 23, 2017",organic,Albany,1.92
"April 30, 2017",organic,Albany,1.74
"May 7, 2017",organic,Albany,1.79
"May 14, 2017",organic,Albany,1.57
"May 21, 2017",organic,Albany,1.84
"May 28, 2017",organic,Albany,1.87
"June 4, 2017",organic,Albany,1.63
"June 11, 2017",organic,Albany,2.04
"June 18, 2017",organic,Albany,2.03
"June 25, 2017",organic,Albany,2.13
"July 2, 2017",organic,Albany,2.03
"July 9, 2017",organic,Albany,2
"July 16, 2017",organic,Albany,1.87
"July 23, 2017",organic,Albany,1.42
"July 30, 2017",organic,Albany,1.67
"August 6, 2017",organic,Albany,1.98
"August 13, 2017",organic,Albany,1.9
"August 20, 2017",organic,Albany,1.86
"August 27, 2017",organic,Albany,1.91
"September 3, 2017",organic,Albany,2
"September 10, 2017",organic,Albany,1.78
"September 17, 2017",organic,Albany,1.55
"September 24, 2017",organic,Albany,1.42
"October 1, 2017",organic,Albany,1.59
"October 8, 2017",organic,Albany,1.4
"October 15, 2017",organic,Albany,1.47
"October 22, 2017",organic,Albany,1.49
"October 29, 2017",organic,Albany,1.38
"November 5, 2017",organic,Albany,1.5
"November 12, 2017",organic,Albany,1.71
"November 19, 2017",organic,Albany,1.75
"November 26, 2017",organic,Albany,1.57
"December 3, 2017",organic,Albany,1.44
"December 10, 2017",organic,Albany,1.45
"December 17, 2017",organic,Albany,1.43
"December 24, 2017",organic,Albany,1.58
"December 31, 2017",organic,Albany,1.46
"January 7, 2018",organic,Albany,1.54
"January 14, 2018",organic,Albany,1.47
"January 21, 2018",organic,Albany,1.54
"January 28, 2018",organic,Albany,1.32
"February 4, 2018",organic,Albany,1.52
"February 11, 2018",organic,Albany,1.43
"February 18, 2018",organic,Albany,1.43
"February 25, 2018",organic,Albany,1.56
"March 4, 2018",organic,Albany,1.48
"March 11, 2018",organic,Albany,1.68
"March 18, 2018",organic,Albany,1.66
"March 25, 2018",organic,Albany,1.71
